"ModelN","VarGroup","Model","NumPredictors","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","value_ICC2","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE","globalrank_RMSE.Std","globalrank_RMSE.CVmean","globalrank_RMSE.CVsd","globalrank_Singular","globalrank_Sig","globalrank_ICC","globalrank_ICC2","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE","familyrank_RMSE.Std","familyrank_RMSE.CVmean","familyrank_RMSE.CVsd","familyrank_Singular","familyrank_Sig","familyrank_ICC","familyrank_ICC2","globalranks_mean","familyranks_mean"
9,9,"Height.m, CanopyDiameter.m",2,"Species&Site","MixedInt",25,1,"9.MixedInt_Species&Site",0.96142,1037.94529,1063.75001,0.60366,1.00784,0.61499,0.05356,0,0.60794,0.19604,3.5983,0.19604,55,70,70,70,78,69,19,26,70,20,48,4,4,4,3,3,2,2,1.5,3,1,3,67,3.6
15,15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"Site","MixedInt",26,2,"15.MixedInt_Site",0.96115,1037.87173,1063.67644,0.60576,1.01134,0.61266,0.05777,0,0.60941,0.16697,3.72773,0.16697,58,69,69,72,80,67,28,26,72,25,42,5,3,3,4,4,1,2,1.5,4,2,2,68,3.8
9,9,"Height.m, CanopyDiameter.m",2,"Site","MixedInt",27,2,"9.MixedInt_Site",0.96113,1036.59921,1058.10314,0.60621,1.01209,0.61202,0.08762,0,0.60986,0.16543,3.50562,0.16543,59,68,68,73,81,66,79,26,73,26,41,5,3,3,4,4,1,4,1.5,4,2,2,68.2,3.8
15,15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"Species&Site","MixedInt",28,1,"15.MixedInt_Species&Site",0.96134,1039.67326,1069.77876,0.60407,1.00852,0.6141,0.05483,0,0.60821,0.1878,3.69752,0.1878,56,72,72,71,79,68,20,26,71,22,46,4,4,4,3,3,2,1,1.5,3,1,3,68.4,3.6
1,1,"DBH.cm",1,NA,"Fixed",29,6,"1.Fixed",0.93145,871.77524,884.43701,0.57217,0.25753,0.57016,0.07856,NA,0.57331,NA,-Inf,NA,95,63,63,67,63,63,65,NA,67,NA,NA,7,7,7,7,7,7,3,NA,7,NA,NA,71,7
9,9,"Height.m, CanopyDiameter.m",2,NA,"Fixed",30,3,"9.Fixed",0.9598,1069.84614,1087.04928,0.64097,1.07013,0.64483,0.0488,NA,0.64274,NA,4.99639,NA,65,75,74,78.5,86.5,75,10,NA,78,NA,NA,7,6,5,6.5,6.5,5,1,NA,7,NA,NA,74.1,6.3
15,15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,NA,"Fixed",31,3,"15.Fixed",0.95983,1071.45218,1092.9561,0.64074,1.06974,0.63862,0.09526,NA,0.64311,NA,5.32366,NA,64,77,75,76.5,84.5,73,93,NA,79,NA,NA,7,6,5,6.5,6.5,4,5,NA,7,NA,NA,74.3,6.3
2,2,"Height.m",1,"Species&Site","MixedIntSlope",32,1,"2.MixedIntSlope_Species&Site",0.9631,1366.06069,1405.79656,0.67408,0.87764,0.69889,0.05315,0,0.6851,0.78956,-Inf,0.78667,43,85,85,81,68,84,17,26,82,1,96,1,1,1,1,1,1,2,3.5,1,1,6,75.2,1
5,5,"Comp.Can.H.Den",1,"Species&Site","MixedInt",33,2,"5.MixedInt_Species&Site",0.95315,1142.63265,1164.13657,0.66773,1.11479,0.6802,0.06843,0,0.67247,0.11555,-Inf,0.11555,74,80,80,80,88,77,49,26,80,30,33,5,3,3,3,3,3,6,3,3,2,4,78.8,3.4
5,5,"Comp.Can.H.Den",1,NA,"Fixed",34,3,"5.Fixed",0.95281,1155.13103,1168.03339,0.69441,1.15935,0.69696,0.0452,NA,0.69569,NA,-Inf,NA,76.5,83,82,86,92,83,7,NA,86,NA,NA,6,6,5,7,7,7,2,NA,7,NA,NA,82.7,6.2
2,2,"Height.m",1,"Site","MixedIntSlope",35,2,"2.MixedIntSlope_Site",0.95926,1387.13685,1413.62744,0.69735,0.90793,0.71454,0.06197,0,0.70663,0.75073,-Inf,0.76622,66,90,87,87,70,85,34,26,87,2,94,2,2,2,2,2,2,4,3.5,2,2,5,83.4,2
3,3,"CanopyDiameter.m",1,"Site","MixedIntSlope",36,1,"3.MixedIntSlope_Site",0.93569,1380.8517,1406.65641,0.8165,1.36317,0.83244,0.09212,0,0.82453,0.32833,-Inf,0.39425,90,89,86,95,101,91,84,26,95,11,66,2,2,1,2,2,2,2,2.5,2,1,5,91,1.8
2,2,"Height.m",1,"Species&Site","MixedInt",37,3,"2.MixedInt_Species&Site",0.93671,1456.3792,1478.45468,0.75847,0.98751,0.76857,0.08521,0,0.76508,0.48788,-Inf,0.48788,89,99,96,89,73,86,76,26,89,4,76,3,3,3,3,3,3,6,3.5,3,3,4,92.4,3
10,10,"Height.m, WoodDensity.g.cm3",2,"Species&Site","MixedInt",38.5,1,"10.MixedInt_Species&Site",0.93553,1454.73112,1481.2217,0.76052,0.99018,0.77079,0.09665,0,0.76612,0.44575,1.00414,0.44575,91,97,97,90,74,87,95,26,90,6,74,3,3,3,3,3,1,3,2,3,1,4,93,3
