"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE_log","globalrank_RMSE_log.CVmean","globalrank_RMSE_log.CVsd","globalrank_Sig","globalrank_ICC","globalrank_RMSE_lin","globalrank_RMdSE_lin","globalrank_RelRMSE_lin","globalrank_RelRMdSE_lin","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE_log","familyrank_RMSE_log.CVmean","familyrank_RMSE_log.CVsd","familyrank_Sig","familyrank_ICC","familyrank_RMSE_lin","familyrank_RMdSE_lin","familyrank_RelRMSE_lin","familyrank_RelRMdSE_lin","globalranks_mean","familyranks_mean"
"all",8,"logDBH.cm, logWoodDensity.g.cm3",8,2,339,NA,"Fixed",24,3,"8.Fixed",0.95561,426.42836,441.73236,2.30929290577896,14.3078866529056,63.0937602650906,104.737951568479,0.44853,0.4447,0.09267,NA,0.45052,NA,1.00035,65,59,56,67,42,67,65,NA,84,22,84,22,7,6,4,7,4,3,7,NA,7,3,7,3,58.5,5.66666666666667
"all",1,"logDBH.cm",1,1,339,"Species","MixedInt",25,4,"1.MixedInt_Species",0.95643,432.29358,447.59758,2.49792268519846,15.4765965625679,58.0266021659146,96.326283642024,0.44493,0.44552,0.0763,0,0.44679,0.12425,-Inf,62,61,59,62,44,43,62,22,77,34,77,34,5,5,5,5,5,3,5,4,6,3,6,3,59.1666666666667,4.83333333333333
"all",9,"logHeight.m, logCanopyDiameter.m",9,2,339,"Site","MixedInt",26,1,"9.MixedInt_Site",0.95501,452.62173,471.75173,3.88374512496606,24.0628570320078,59.3968798773012,98.6009948015359,0.45022,0.46051,0.05403,0,0.45397,0.19636,3.50562,69,66,62,69,52,10,69,14,79,67,79,67,4,2,1,4,1,3,4,2,7,3,7,3,68.6666666666667,3.5
"all",15,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,339,"Site","MixedInt",27,1,"15.MixedInt_Site",0.95545,451.55225,474.50825,4.25833365469951,26.3837277242845,59.4327358778501,98.6605170749454,0.44796,0.45727,0.04892,0,0.4517,0.20556,3.72773,66.5,65,64,64.5,50,6,66.5,12,80,73,80,73,3.5,2,1,3.5,2,1,3.5,1,6,5,6,5,69.1666666666667,3.5
"all",9,"logHeight.m, logCanopyDiameter.m",9,2,339,"Species&Site","MixedInt",28,2,"9.MixedInt_Species&Site",0.95518,454.13851,477.09451,4.03456205576853,24.9972865908831,59.1684081413519,98.2217233567198,0.44855,0.46066,0.06928,0,0.45285,0.20247,3.5983,68,68,66,68,53.5,33,68,13,78,70,78,70,3,3,3,3,2.5,4,3,1,6,5,6,5,69.6666666666667,3.83333333333333
"all",1,"logDBH.cm",1,1,339,NA,"Fixed",29,5,"1.Fixed",0.94947,468.35014,479.82814,3.00854858891757,18.6403258297247,61.7801906206505,102.55737787588,0.47854,0.47636,0.07775,NA,0.47996,NA,-Inf,74,71,67,75,55,46,75,NA,83,57,83,57,7,7,7,7,7,4,7,NA,7,7,7,7,71.1666666666667,7
"all",9,"logHeight.m, logCanopyDiameter.m",9,2,339,NA,"Fixed",30,3,"9.Fixed",0.94848,476.8979,492.20191,4.45765322843282,27.6186693211451,53.2547430291408,88.4048228024874,0.48319,0.48504,0.04853,NA,0.48534,NA,4.99639,77,75,69,77,58,5,77,NA,74,76,74,76,7,7,4,7,5,2,7,NA,4,7,4,7,74.6666666666667,6
"all",15,"logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,339,NA,"Fixed",31,2,"15.Fixed",0.94874,477.16953,496.29953,4.71505471590748,29.2134740762545,53.0288596696806,88.02984815739,0.48196,0.48552,0.06114,NA,0.48483,NA,5.32366,76,76,72,76,59,20,76,NA,71,78,71,78,7,6,4,7,4,2,7,NA,5,7,5,7,74.8333333333333,6
"all",5,"logComp.Can.H.Den",5,1,339,NA,"Fixed",32,1,"5.Fixed",0.92471,603.52251,615.00051,5.16678344635836,32.0122890108944,52.9069084994689,87.827404750852,0.58413,0.57664,0.11889,NA,0.58586,NA,-Inf,84,80,78,83.5,64,88,84,NA,65,84,65,84,7,3,1,6.5,3,6,7,NA,3,7,3,7,79.1666666666667,4.66666666666667
"all",2,"logHeight.m",2,1,339,"Species&Site","MixedIntSlope",33,1,"2.MixedIntSlope_Species&Site",0.92313,714.71267,749.14667,7.38637045984694,45.7643770746403,72.8751872136484,120.975478349325,0.63112,0.65024,0.09755,0,0.64085,0.68267,-Inf,85,85,88,85,71,72,85,1,86,93,86,93,1,1,2,1,1,5,1,1,1,2,1,2,87,1.33333333333333
"all",2,"logHeight.m",2,1,339,"Site","MixedIntSlope",34,2.5,"2.MixedIntSlope_Site",0.91092,728.66423,751.62023,7.73790991944736,47.9424406409378,76.2687590936753,126.608931890864,0.66056,0.67597,0.0639,0,0.66809,0.61129,-Inf,87,89,89,88,74,28,90,3,91,96,91,96,2,2,3,2,2,1,2,2,2,3,2,3,90.3333333333333,2.33333333333333
"all",2,"logHeight.m",2,1,339,"Species&Site","MixedInt",35,2.5,"2.MixedInt_Species&Site",0.90298,728.75651,747.88651,7.32956004820685,45.4123918724092,83.099905326305,137.948884689117,0.66166,0.67629,0.08902,0,0.66921,0.5494,-Inf,91,90,86,89,75,60,91,4,99,91,99,91,3,3,1,3,3,4,3,3,3,1,3,1,91.3333333333333,2.33333333333333
"all",10,"logHeight.m, logWoodDensity.g.cm3",10,2,339,"Site","MixedInt",36,1,"10.MixedInt_Site",0.90322,723.16767,742.29767,8.09879486352402,50.1784068371996,83.5362154333185,138.673175437761,0.66179,0.68113,0.05434,0,0.66763,0.53847,1.00473,89.5,87,85,90.5,76,11,88.5,5,100,100,100,100,3.5,2,1,3.5,2,1,3.5,1,2,2,2,2,91.6666666666667,2.33333333333333
"all",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,339,"Site","MixedInt",37,1,"11.MixedInt_Site",0.84144,872.50673,891.63673,7.10572332269001,44.0255472285626,78.7233538679303,130.683649065843,0.84153,0.86024,0.08489,0,0.84806,0.10768,1.00503,98.5,94,94,97.5,88,57,97.5,25,98,87,98,87,3.5,1,1,3.5,3,1,3.5,1,6,3,6,3,94.8333333333333,3
