"size","ModelN","Model","NumObservations","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMdSE_lin","value_RelRMdSE_lin","value_RMSE_lin","value_RelRMSE_lin","value_RMSE_log","value_RMSE_log.CVmean","value_RMSE_log.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","maxVIF"
"5cm",13,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",204,"Site","MixedInt",10,0.94889,72.73521,92.64393,8.19307183500726,15.8648147518969,48.4815433276562,49.3292718712003,0.26834,0.28002,0.06271,0,0.27169,0.23866,"13.MixedInt_Site",-0.91882,1.97755,0.48699,3.06559,NA,1.96414,1.95967,1.00403,NA,1.96414
"5cm",6,"logDBH.cm, logHeight.m",204,"Species&Site","MixedInt",11.5,0.94772,81.93752,101.84624,7.82829760774488,15.1584770487344,48.4166127207676,49.2632059141344,0.26832,0.27869,0.04759,0,0.27301,0.40864,"6.MixedInt_Species&Site",-1.94125,1.98796,0.46433,NA,NA,2.0313,2.0313,NA,NA,2.0313
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",204,NA,"Fixed",11.5,0.93915,70.97163,87.56223,8.02169003039311,15.5329562454901,46.3257990242247,47.1358330998709,0.28097,0.28238,0.04823,NA,0.28377,NA,"12.Fixed",-1.52055,1.33717,0.68197,0.59758,NA,3.99321,1.55649,3.08071,NA,3.99321
"5cm",1,"logDBH.cm",204,"Site","MixedIntSlope",13,0.94689,97.17797,117.08669,7.35623802343225,14.2443952479405,34.627026466497,35.2325005644504,0.27852,0.29181,0.039,0,0.28398,0.3898,"1.MixedIntSlope_Site",-1.46413,2.23852,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",8,"logDBH.cm, logWoodDensity.g.cm3",204,"Site","MixedInt",14,0.94736,85.9916,102.5822,8.6059898687771,16.6643766555879,46.1306772710045,46.9372995270526,0.2758,0.28183,0.0629,0,0.2795,0.38952,"8.MixedInt_Site",-0.26516,2.2101,3.37927,NA,NA,1.00054,1.00054,NA,NA,1.00054
"5cm",1,"logDBH.cm",204,"Species&Site","MixedInt",15,0.94593,94.40003,110.99063,8.44060011746005,16.3441209786761,46.7837421277586,47.6017836102145,0.27603,0.28465,0.04486,0,0.28105,0.48967,"1.MixedInt_Species&Site",-1.43268,2.21636,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",4,"logComp.DBH.H.Den",204,"Species&Site","MixedInt",16,0.94289,94.37097,110.96157,7.64747119315478,14.8083302872397,52.8358769956002,53.7597436462479,0.28039,0.28898,0.05105,0,0.28506,0.29417,"4.MixedInt_Species&Site",-2.12165,0.8953,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",7,"logDBH.cm, logCanopyDiameter.m",204,"Species","MixedInt",17,0.93885,95.37374,111.96434,6.63363220792687,12.8451633563497,58.9954893945539,60.0270605217788,0.28901,0.29282,0.05897,0,0.29108,0.28468,"7.MixedInt_Species",-0.92514,1.80645,0.41094,NA,NA,2.80758,2.80758,NA,NA,2.80758
"5cm",14,"logDBH.cm, logCanopyDiameter.m, logWoodDensity.g.cm3",204,"Species","MixedInt",18,0.93982,96.50317,116.41189,6.7432542683665,13.0574321752517,59.0993444607561,60.1327315554187,0.28904,0.29327,0.04236,0,0.29108,0.2269,"14.MixedInt_Species",-0.33655,1.80849,0.40615,1.71897,NA,2.81571,2.82339,1.00538,NA,2.82339
"5cm",6,"logDBH.cm, logHeight.m",204,"Species","MixedInt",19,0.93469,98.94511,115.53571,9.0352895014384,17.495659388412,54.7518766907315,55.7092457325883,0.29225,0.29979,0.05668,0,0.29431,0.22326,"6.MixedInt_Species",-1.66509,1.96153,0.37919,NA,NA,1.64384,1.64384,NA,NA,1.64384
"5cm",4,"logComp.DBH.H.Den",204,"Site","MixedInt",20,0.93556,109.59405,122.86653,8.30766074752067,16.0867012318712,55.0463229952639,56.0088406054162,0.29914,0.30363,0.04556,0,0.30255,0.14271,"4.MixedInt_Site",-2.12382,0.8949,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",6,"logDBH.cm, logHeight.m",204,"Site","MixedInt",21,0.93115,122.68083,139.27143,8.03072295754098,15.550447330489,52.8550382545093,53.7792399511352,0.30744,0.31678,0.05117,0,0.31094,0.1409,"6.MixedInt_Site",-1.96787,1.93797,0.52695,NA,NA,1.85464,1.85464,NA,NA,1.85464
"5cm",13,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",204,NA,"Fixed",22,0.92983,100.04036,116.63096,10.2179483561883,19.7857239726292,54.1557095193865,55.1026542246157,0.30172,0.30451,0.06495,NA,0.30472,NA,"13.Fixed",-0.82096,1.85522,0.52097,2.62796,NA,1.42423,1.42369,1.00047,NA,1.42423
"5cm",1,"logDBH.cm",204,"Site","MixedInt",23,0.93032,133.13196,146.40444,8.2622837781616,15.9988346505228,50.7939474417326,51.6821097428916,0.31307,0.31995,0.04799,0,0.3171,0.28988,"1.MixedInt_Site",-1.44479,2.21471,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",1,"logDBH.cm",204,"Species","MixedIntSlope",24,0.93572,116.40032,136.30904,10.2814264629129,19.9086410450371,64.4160939321597,65.5424475451387,0.29849,0.3067,0.05889,0,0.30219,0.32138,"1.MixedIntSlope_Species",-1.33014,2.18705,NA,NA,NA,NA,NA,NA,NA,-Inf
"5cm",7,"logDBH.cm, logCanopyDiameter.m",204,NA,"Fixed",25,0.91195,144.36423,157.63671,6.65818342528151,12.8927035858398,65.1515021815234,66.2907148439748,0.338,0.33793,0.05569,NA,0.34051,NA,"7.Fixed",-0.74019,1.71068,0.4441,NA,NA,2.90776,2.90776,NA,NA,2.90776
"5cm",4,"logComp.DBH.H.Den",204,NA,"Fixed",26,0.9178,128.33913,138.29349,10.4612452157963,20.256836601095,50.9836692082092,51.875148906995,0.32658,0.32666,0.03725,NA,0.32819,NA,"4.Fixed",-1.81522,0.85232,NA,NA,NA,NA,NA,NA,NA,-Inf
