"size","VarGroup","MixedEffects","Model","ModelN","NumPredictors","NumObservations","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
"all",15,"Species","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,545,-0.8747,-0.8747,-0.86662,1.40968,1.40968,1.4773,1.34165,1.34165,1.26858,0.3278,0.3278,0.68512,NA,NA,NA,5.32366,5.32366,1.02423,5.27264,5.27264,1.02005,1.0657,1.0657,1.01785,NA,NA,NA,5.32366,5.32366,1.02423
"all",15,"Site","logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",15,3,545,-0.8747,-0.89906,-1.47846,1.40968,1.5439,1.71238,1.34165,1.12547,1.28211,0.3278,0.42978,0.58518,NA,NA,NA,5.32366,3.72773,1.02771,5.27264,3.72678,1.0336,1.0657,1.06903,1.02376,NA,NA,NA,5.32366,3.72773,1.0336
"all",16,"Species&Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,339,-0.8991,-0.98613,-0.91587,1.15082,1.17539,1.39678,0.83505,0.87398,0.58734,0.70763,0.68041,0.59641,1.8618,1.89162,1.7997,11.55534,9.27681,1.85372,5.10315,5.30645,1.18341,5.38479,3.7976,1.65161,1.08854,1.09251,1.01413510903939,11.55534,9.27681,1.85372
"all",16,"Species","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,339,-0.8991,-0.8991,-0.83634,1.15082,1.15082,1.17242,0.83505,0.83505,0.78828,0.70763,0.70763,0.70678,1.8618,1.8618,1.90708,11.55534,11.55534,3.98753,5.10315,5.10315,1.74401,5.38479,5.38479,2.96776,1.08854,1.08854,1.08628880476174,11.55534,11.55534,3.98753
"all",16,"Site","logDBH.cm, logHeight.m, logCanopyDiameter.m, logWoodDensity.g.cm3",16,4,339,-0.8991,-0.98613,-0.86619,1.15082,1.17539,1.46722,0.83505,0.87398,0.54627,0.70763,0.68041,0.53223,1.8618,1.89162,1.8326,11.55534,9.27681,1.23784,5.10315,5.30645,1.09341,5.38479,3.7976,1.19484,1.08854,1.09251,1.06077533581548,11.55534,9.27681,1.23784
"5cm",1,"Species&Site","logDBH.cm",1,1,264,-1.19187,-1.43268,-1.48399,2.11707,2.21636,2.25182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",1,"Species","logDBH.cm",1,1,264,-1.19187,-1.28059,-1.33014,2.11707,2.16089,2.18705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",1,"Site","logDBH.cm",1,1,264,-1.19187,-1.44479,-1.46413,2.11707,2.21471,2.23852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",2,"Species&Site","logHeight.m",2,1,239,-0.63156,-2.98099,-3.53204,2.04946,3.0502,3.26613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",2,"Species","logHeight.m",2,1,239,-0.63156,-0.9094,-1.18648,2.04946,2.18405,2.29745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",2,"Site","logHeight.m",2,1,239,-0.63156,-2.90206,-3.42479,2.04946,3.01115,3.21897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",3,"Species&Site","logCanopyDiameter.m",3,1,204,1.80599,1.61675,1.36527,1.87045,1.92673,2.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",3,"Species","logCanopyDiameter.m",3,1,204,1.80599,1.74844,1.67407,1.87045,1.91901,1.96581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",3,"Site","logCanopyDiameter.m",3,1,204,1.80599,1.61675,1.43646,1.87045,1.92673,2.0455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",4,"Species&Site","logComp.DBH.H.Den",4,1,239,-1.81522,-2.12165,-2.2243,0.85232,0.8953,0.9121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",4,"Species","logComp.DBH.H.Den",4,1,239,-1.81522,-1.81248,-1.84189,0.85232,0.853,0.85813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",4,"Site","logComp.DBH.H.Den",4,1,239,-1.81522,-2.12382,-2.21609,0.85232,0.8949,0.91057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",5,"Species&Site","logComp.Can.H.Den",5,1,204,0.34268,0.32531,0.08433,0.86504,0.86886,0.91391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",5,"Species","logComp.Can.H.Den",5,1,204,0.34268,0.32531,0.17735,0.86504,0.86886,0.89685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",5,"Site","logComp.Can.H.Den",5,1,204,0.34268,0.34268,0.19006,0.86504,0.86504,0.89245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf
"5cm",6,"Species&Site","logDBH.cm, logHeight.m",6,2,239,-1.74097,-1.94125,-2.1508,1.86257,1.98796,1.97662,0.51615,0.46433,0.56539,NA,NA,NA,NA,NA,NA,1.42357,2.0313,1.10121,1.42357,2.0313,1.10121,NA,NA,NA,NA,NA,NA,1.42357,2.0313,1.10121
"5cm",6,"Species","logDBH.cm, logHeight.m",6,2,239,-1.74097,-1.66509,-1.56832,1.86257,1.96153,2.05021,0.51615,0.37919,0.25674,NA,NA,NA,NA,NA,NA,1.42357,1.64384,1.01888,1.42357,1.64384,1.01888,NA,NA,NA,NA,NA,NA,1.42357,1.64384,1.01888
"5cm",6,"Site","logDBH.cm, logHeight.m",6,2,239,-1.74097,-1.96787,-2.04925,1.86257,1.93797,1.97724,0.51615,0.52695,0.53736,NA,NA,NA,NA,NA,NA,1.42357,1.85464,1.08364,1.42357,1.85464,1.08364,NA,NA,NA,NA,NA,NA,1.42357,1.85464,1.08364
"5cm",7,"Species&Site","logDBH.cm, logCanopyDiameter.m",7,2,204,-0.74019,-1.06138,-1.00605,1.71068,1.80439,1.84153,0.4441,0.47542,0.37501,NA,NA,NA,NA,NA,NA,2.90776,2.74967,1.22593,2.90776,2.74967,1.22593,NA,NA,NA,NA,NA,NA,2.90776,2.74967,1.22593
"5cm",7,"Species","logDBH.cm, logCanopyDiameter.m",7,2,204,-0.74019,-0.92514,-0.94414,1.71068,1.80645,1.80777,0.4441,0.41094,0.43155,NA,NA,NA,NA,NA,NA,2.90776,2.80758,1.38885,2.90776,2.80758,1.38885,NA,NA,NA,NA,NA,NA,2.90776,2.80758,1.38885
"5cm",7,"Site","logDBH.cm, logCanopyDiameter.m",7,2,204,-0.74019,-0.99774,-1.02523,1.71068,1.72174,1.79208,0.4441,0.57798,0.4827,NA,NA,NA,NA,NA,NA,2.90776,2.58585,1.27237,2.90776,2.58585,1.27237,NA,NA,NA,NA,NA,NA,2.90776,2.58585,1.27237
"5cm",8,"Species&Site","logDBH.cm, logWoodDensity.g.cm3",8,2,264,-0.12722,-0.27168,-0.51463,2.09311,2.21223,2.22779,2.89104,3.3718,2.63548,NA,NA,NA,NA,NA,NA,1.00626,1.00029,1.00024,1.00626,1.00029,1.00024,NA,NA,NA,NA,NA,NA,1.00626,1.00029,1.00024
"5cm",8,"Species","logDBH.cm, logWoodDensity.g.cm3",8,2,264,-0.12722,-0.24394,-0.22538,2.09311,2.15775,2.18687,2.89104,3.00885,3.2181,NA,NA,NA,NA,NA,NA,1.00626,1.00023,1.00131,1.00626,1.00023,1.00131,NA,NA,NA,NA,NA,NA,1.00626,1.00023,1.00131
"5cm",8,"Site","logDBH.cm, logWoodDensity.g.cm3",8,2,264,-0.12722,-0.26516,-0.31802,2.09311,2.2101,2.23915,2.89104,3.37927,3.28878,NA,NA,NA,NA,NA,NA,1.00626,1.00054,1,1.00626,1.00054,1,NA,NA,NA,NA,NA,NA,1.00626,1.00054,1
"5cm",9,"Species&Site","logHeight.m, logCanopyDiameter.m",9,2,204,-0.83071,-1.30412,-1.56405,1.34563,1.60492,1.74399,1.55879,1.46689,1.43551,NA,NA,NA,NA,NA,NA,1.1334,1.31573,1.19692,1.1334,1.31573,1.19692,NA,NA,NA,NA,NA,NA,1.1334,1.31573,1.19692
"5cm",9,"Species","logHeight.m, logCanopyDiameter.m",9,2,204,-0.83071,-0.83071,-0.9176,1.34563,1.34563,1.36079,1.55879,1.55879,1.58438,NA,NA,NA,NA,NA,NA,1.1334,1.1334,1.03999,1.1334,1.1334,1.03999,NA,NA,NA,NA,NA,NA,1.1334,1.1334,1.03999
"5cm",9,"Site","logHeight.m, logCanopyDiameter.m",9,2,204,-0.83071,-1.30412,-1.85215,1.34563,1.60492,1.85246,1.55879,1.46689,1.39483,NA,NA,NA,NA,NA,NA,1.1334,1.31573,1.08494,1.1334,1.31573,1.08494,NA,NA,NA,NA,NA,NA,1.1334,1.31573,1.08494
"5cm",10,"Species&Site","logHeight.m, logWoodDensity.g.cm3",10,2,239,0.39058,-2.14181,-2.49461,2.04808,3.04173,3.12715,2.93366,2.40038,1.92804,NA,NA,NA,NA,NA,NA,1.00001,1.00003,1.00095,1.00001,1.00003,1.00095,NA,NA,NA,NA,NA,NA,1.00001,1.00003,1.00095
"5cm",10,"Species","logHeight.m, logWoodDensity.g.cm3",10,2,239,0.39058,0.0351,-0.24619,2.04808,2.18016,2.33384,2.93366,2.73474,3.00089,NA,NA,NA,NA,NA,NA,1.00001,1.00001,1.00136,1.00001,1.00001,1.00136,NA,NA,NA,NA,NA,NA,1.00001,1.00001,1.00136
"5cm",10,"Site","logHeight.m, logWoodDensity.g.cm3",10,2,239,0.39058,-2.12203,-2.70951,2.04808,3.0154,3.28666,2.93366,2.29912,2.56345,NA,NA,NA,NA,NA,NA,1.00001,1.00003,1.00105,1.00001,1.00003,1.00105,NA,NA,NA,NA,NA,NA,1.00001,1.00003,1.00105
"5cm",11,"Species&Site","logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,204,1.60573,1.40742,2.29131,1.88486,1.93924,2.01857,-0.52738,-0.55546,2.4351,NA,NA,NA,NA,NA,NA,1.06778,1.03954,1.00008,1.06778,1.03954,1.00008,NA,NA,NA,NA,NA,NA,1.06778,1.03954,1.00008
