"ModelN","Model","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
4,"Comp.DBH.H.Den","Species&Site","MixedInt",13,0.94357,100.77297,118.15529,0.27382,0.06871,0.27756,0.05745,0,0.27863,0.37782,"4.MixedInt_Species&Site",-2.12165,0.8953,NA,NA,NA,NA,NA,NA,NA,0.934156109584177,NA,NA,NA,-Inf
8,"DBH.cm, WoodDensity.g.cm3","Species&Site","MixedInt",14,0.94888,115.30021,136.75591,0.27726,0.06959,0.28671,0.04619,0,0.28173,0.34606,"8.MixedInt_Species&Site",-0.27168,2.21223,3.3718,NA,NA,1.00029,1.00029,NA,NA,0.938724959625451,0.281995339119596,NA,NA,1.00029
8,"DBH.cm, WoodDensity.g.cm3","Site","MixedInt",15,0.94875,113.5184,131.39815,0.27812,0.06981,0.28498,0.04572,0,0.28217,0.36019,"8.MixedInt_Site",-0.26516,2.2101,3.37927,NA,NA,1.00054,1.00054,NA,NA,0.933134934986017,0.264732608525951,NA,NA,1.00054
7,"DBH.cm, CanopyDiameter.m","Species","MixedInt",16,0.93885,95.37374,111.96434,0.28901,0.07278,0.29616,0.03107,0,0.29108,0.28468,"7.MixedInt_Species",-0.92514,1.80645,0.41094,NA,NA,2.80758,2.80758,NA,NA,0.770632952600246,0.140958060084896,NA,NA,2.80758
1,"DBH.cm","Species&Site","MixedInt",17,0.94777,120.42181,138.30155,0.27706,0.06954,0.2863,0.05528,0,0.28211,0.49119,"1.MixedInt_Species&Site",-1.43268,2.21636,NA,NA,NA,NA,NA,NA,NA,0.936546091239288,NA,NA,NA,-Inf
14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3","Species","MixedInt",18,0.93982,96.50317,116.41189,0.28904,0.07279,0.29231,0.04321,0,0.29108,0.2269,"14.MixedInt_Species",-0.33655,1.80849,0.40615,1.71897,NA,2.81571,2.82339,1.00538,NA,0.764170131222076,0.126945905229891,0.081311166071243,NA,2.82339
6,"DBH.cm, Height.m","Species","MixedInt",19,0.9348,107.39849,124.78081,0.28852,0.07239,0.29405,0.03105,0,0.29029,0.27951,"6.MixedInt_Species",-1.66509,1.96153,0.37919,NA,NA,1.64384,1.64384,NA,NA,0.886409522175643,0.113503205614345,NA,NA,1.64384
13,"DBH.cm, Height.m, WoodDensity.g.cm3","Species","MixedInt",20,0.93488,106.26738,127.12617,0.28869,0.07244,0.29486,0.04261,0,0.29035,0.11044,"13.MixedInt_Species",-0.75036,1.95262,0.39094,2.68701,NA,1.62518,1.62518,1.00001,NA,0.888693813894663,0.204369178231096,0.123245263966557,NA,1.62518
13,"DBH.cm, Height.m, WoodDensity.g.cm3",NA,"Fixed",21,0.92574,118.27774,135.66006,0.30349,0.07615,0.30919,0.03789,NA,0.30606,NA,"13.Fixed",-0.82096,1.85522,0.52097,2.62796,NA,1.42423,1.42369,1.00047,NA,0.873486119855022,0.192983528953278,0.190519471250972,NA,1.42423
4,"Comp.DBH.H.Den","Site","MixedInt",22,0.93339,128.5978,142.50365,0.29785,0.07474,0.29808,0.07115,0,0.30166,0.2174,"4.MixedInt_Site",-2.12382,0.8949,NA,NA,NA,NA,NA,NA,NA,0.923507917490759,NA,NA,NA,-Inf
1,"DBH.cm","Site","MixedIntSlope",23,0.93803,163.22181,184.67751,0.30174,0.07574,0.31423,0.06169,0,0.3079,0.29856,"1.MixedIntSlope_Site",-1.46413,2.23852,NA,NA,NA,NA,NA,NA,NA,0.924627973718681,NA,NA,NA,-Inf
1,"DBH.cm","Species","MixedIntSlope",24,0.93465,158.39128,179.84698,0.30773,0.07724,0.31305,0.06367,0,0.31062,0.3359,"1.MixedIntSlope_Species",-1.33014,2.18705,NA,NA,NA,NA,NA,NA,NA,0.925660755577173,NA,NA,NA,-Inf
4,"Comp.DBH.H.Den","Species","MixedIntSlope",25,0.92146,146.70363,167.56241,0.3118,0.07824,0.32145,0.04656,0,0.31465,0.11118,"4.MixedIntSlope_Species",-1.84189,0.85813,NA,NA,NA,NA,NA,NA,NA,0.916294766867339,NA,NA,NA,-Inf
14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",NA,"Fixed",26,0.91787,132.16269,148.75329,0.32644,0.08221,0.32353,0.08406,NA,0.32968,NA,"14.Fixed",-0.19631,1.77388,0.34549,1.68003,NA,3.05058,3.23583,1.12023,NA,0.726665022590188,0.0823365704527087,0.0672475026377354,NA,3.23583
6,"DBH.cm, Height.m","Site","MixedInt",27,0.92451,152.19585,169.57817,0.31403,0.07879,0.32561,0.04181,0,0.31768,0.13863,"6.MixedInt_Site",-1.96787,1.93797,0.52695,NA,NA,1.85464,1.85464,NA,NA,0.863301980045694,0.170123600197422,NA,NA,1.85464
1,"DBH.cm","Species","MixedInt",28,0.9306,161.27436,175.57816,0.31497,0.07906,0.31829,0.05149,0,0.31673,0.31212,"1.MixedInt_Species",-1.28059,2.16089,NA,NA,NA,NA,NA,NA,NA,0.922467064086882,NA,NA,NA,-Inf
8,"DBH.cm, WoodDensity.g.cm3","Species","MixedInt",29,0.93185,160.65473,178.53447,0.31504,0.07907,0.3161,0.0532,0,0.31674,0.15393,"8.MixedInt_Species",-0.24394,2.15775,3.00885,NA,NA,1.00023,1.00023,NA,NA,0.923696096605099,0.206199364505217,NA,NA,1.00023
7,"DBH.cm, CanopyDiameter.m",NA,"Fixed",30,0.91195,144.36423,157.63671,0.338,0.08512,0.33995,0.06079,NA,0.34051,NA,"7.Fixed",-0.74019,1.71068,0.4441,NA,NA,2.90776,2.90776,NA,NA,0.707554503527134,0.133362900122221,NA,NA,2.90776
4,"Comp.DBH.H.Den",NA,"Fixed",31,0.91018,159.74172,170.17111,0.33377,0.08375,0.33389,0.04837,NA,0.33518,NA,"4.Fixed",-1.81522,0.85232,NA,NA,NA,NA,NA,NA,NA,0.910182146546649,NA,NA,NA,-Inf
1,"DBH.cm","Site","MixedInt",32,0.92416,203.60057,217.90437,0.33438,0.08393,0.34786,0.04589,0,0.33887,0.22976,"1.MixedInt_Site",-1.44479,2.21471,NA,NA,NA,NA,NA,NA,NA,0.912288731738445,NA,NA,NA,-Inf
6,"DBH.cm, Height.m",NA,"Fixed",33,0.90826,166.79339,180.69924,0.33732,0.08464,0.33926,0.04364,NA,0.33945,NA,"6.Fixed",-1.74097,1.86257,0.51615,NA,NA,1.42357,1.42357,NA,NA,0.849304194790281,0.159680890647151,NA,NA,1.42357
8,"DBH.cm, WoodDensity.g.cm3",NA,"Fixed",34,0.91573,190.09591,204.3997,0.34162,0.08574,0.34162,0.04281,NA,0.34358,NA,"8.Fixed",-0.12722,2.09311,2.89104,NA,NA,1.00626,1.00626,NA,NA,0.911847859353412,0.178830767259215,NA,NA,1.00626
1,"DBH.cm",NA,"Fixed",35,0.89737,240.11079,250.83863,0.37699,0.09462,0.37748,0.04036,NA,0.37842,NA,"1.Fixed",-1.19187,2.11707,NA,NA,NA,NA,NA,NA,NA,0.897374247160192,NA,NA,NA,-Inf
9,"Height.m, CanopyDiameter.m",NA,"Fixed",36,0.84437,260.55266,273.82514,0.44936,0.11317,0.45023,0.06447,NA,0.4527,NA,"9.Fixed",-0.83071,1.34563,1.55879,NA,NA,1.1334,1.1334,NA,NA,0.733465699139455,0.4831103316338,NA,NA,1.1334
15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",NA,"Fixed",37,0.84451,262.37465,278.96525,0.44916,0.11312,0.45021,0.08733,NA,0.45363,NA,"15.Fixed",-0.74369,1.34956,1.55106,0.24948,NA,1.14378,1.22131,1.07757,NA,0.716771621676191,0.482509090205051,0.000872247804921696,NA,1.22131
5,"Comp.Can.H.Den",NA,"Fixed",38,0.82266,285.1924,295.14676,0.47968,0.1208,0.48112,0.07316,NA,0.48205,NA,"5.Fixed",0.34268,0.86504,NA,NA,NA,NA,NA,NA,NA,0.822659812920654,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Site","MixedIntSlope",39,0.80282,368.55576,388.46448,0.53877,0.13568,0.56534,0.11351,0,0.55062,0.32289,"3.MixedIntSlope_Site",1.43646,2.0455,NA,NA,NA,NA,NA,NA,NA,0.754237198841857,NA,NA,NA,-Inf
11,"CanopyDiameter.m, WoodDensity.g.cm3","Site","MixedInt",40,0.76718,372.5347,389.1253,0.56218,0.14158,0.58443,0.06365,0,0.56922,0.2403,"11.MixedInt_Site",1.40742,1.93924,-0.55546,NA,NA,1.03954,1.03954,NA,NA,0.716036914807886,0.00242782190041756,NA,NA,1.03954
3,"CanopyDiameter.m","Site","MixedInt",41,0.76678,371.07509,384.34757,0.56303,0.14179,0.57999,0.13608,0,0.57006,0.23799,"3.MixedInt_Site",1.61675,1.92673,NA,NA,NA,NA,NA,NA,NA,0.726193858895181,NA,NA,NA,-Inf
3,"CanopyDiameter.m",NA,"Fixed",42,0.69891,393.17753,403.13189,0.62502,0.1574,0.62108,0.11325,NA,0.62811,NA,"3.Fixed",1.80599,1.87045,NA,NA,NA,NA,NA,NA,NA,0.698910146936621,NA,NA,NA,-Inf
11,"CanopyDiameter.m, WoodDensity.g.cm3",NA,"Fixed",43,0.69952,394.76236,408.03484,0.62438,0.15724,0.63426,0.03639,NA,0.62903,NA,"11.Fixed",1.60573,1.88486,-0.52738,NA,NA,1.06778,1.06778,NA,NA,0.688671201826917,0.0020330739872976,NA,NA,1.06778
10,"Height.m, WoodDensity.g.cm3","Site","MixedIntSlope",44,0.79083,535.40541,570.17005,0.65296,0.16384,0.77651,0.10972,0,0.66876,0.25741,"10.MixedIntSlope_Site",-2.70951,3.28666,2.56345,NA,NA,1.00105,1.00105,NA,NA,0.681264642676833,0.0341365411021143,NA,NA,1.00105
2,"Height.m","Site","MixedIntSlope",45,0.77219,538.40224,559.26102,0.67297,0.16886,0.70525,0.11019,0,0.68777,0.45895,"2.MixedIntSlope_Site",-3.42479,3.21897,NA,NA,NA,NA,NA,NA,NA,0.661273273380141,NA,NA,NA,-Inf
2,"Height.m","Species&Site","MixedInt",46,0.75698,539.26499,556.64731,0.68133,0.17096,0.70576,0.11301,0,0.69376,0.46589,"2.MixedInt_Species&Site",-2.98099,3.0502,NA,NA,NA,NA,NA,NA,NA,0.66150204497107,NA,NA,NA,-Inf
10,"Height.m, WoodDensity.g.cm3","Site","MixedInt",47,0.75295,538.95586,556.33817,0.68808,0.17265,0.70577,0.09381,0,0.69821,0.4589,"10.MixedInt_Site",-2.12203,3.0154,2.29912,NA,NA,1.00003,1.00003,NA,NA,0.627680699044678,0.0259486825218575,NA,NA,1.00003
10,"Height.m, WoodDensity.g.cm3","Species&Site","MixedInt",48,0.75573,539.84242,560.7012,0.68188,0.17109,0.71435,0.1,0,0.69383,0.45194,"10.MixedInt_Species&Site",-2.14181,3.04173,2.40038,NA,NA,1.00003,1.00003,NA,NA,0.662217506138398,0.0321203439195996,NA,NA,1.00003
2,"Height.m","Site","MixedInt",49,0.74412,544.64095,558.54681,0.6996,0.17554,0.7197,0.08563,0,0.70986,0.45071,"2.MixedInt_Site",-2.90206,3.01115,NA,NA,NA,NA,NA,NA,NA,0.620295638445854,NA,NA,NA,-Inf
2,"Height.m","Species","MixedInt",50,0.49637,594.63329,608.53914,0.80781,0.20269,0.81345,0.08477,0,0.81252,0.12841,"2.MixedInt_Species",-0.9094,2.18405,NA,NA,NA,NA,NA,NA,NA,0.442590798644067,NA,NA,NA,-Inf
10,"Height.m, WoodDensity.g.cm3","Species","MixedInt",51,0.49602,595.91503,613.29735,0.80797,0.20273,0.82169,0.03696,0,0.81256,0.10096,"10.MixedInt_Species",0.0351,2.18016,2.73474,NA,NA,1.00001,1.00001,NA,NA,0.443420027209897,0.0329510307177706,NA,NA,1.00001
10,"Height.m, WoodDensity.g.cm3",NA,"Fixed",52,0.41304,610.38712,624.29297,0.85324,0.21409,0.85576,0.14148,NA,0.85865,NA,"10.Fixed",0.39058,2.04808,2.93366,NA,NA,1.00001,1.00001,NA,NA,0.39963714060946,0.0357949661994532,NA,NA,1.00001
2,"Height.m",NA,"Fixed",53,0.39125,617.09898,627.52837,0.86893,0.21803,0.87139,0.11477,NA,0.87259,NA,"2.Fixed",-0.63156,2.04946,NA,NA,NA,NA,NA,NA,NA,0.391247080181383,NA,NA,NA,-Inf
1,"DBH.cm","Species&Site","MixedIntSlope",54,0.96032,70.76855,102.9521,0.24087,0.06046,0.25429,0.02659,1,0.24774,NA,"1.MixedIntSlope_Species&Site",-1.48399,2.25182,NA,NA,NA,NA,NA,NA,NA,0.949276947412322,NA,NA,NA,-Inf
2,"Height.m","Species&Site","MixedIntSlope",55,0.79001,535.86542,567.15359,0.65066,0.16326,0.68395,0.1458,1,0.66806,NA,"2.MixedIntSlope_Species&Site",-3.53204,3.26613,NA,NA,NA,NA,NA,NA,NA,0.700896969120204,NA,NA,NA,-Inf
2,"Height.m","Species","MixedIntSlope",56,0.52914,592.25593,613.11471,0.79645,0.19984,0.80522,0.11617,1,0.80114,NA,"2.MixedIntSlope_Species",-1.18648,2.29745,NA,NA,NA,NA,NA,NA,NA,0.47429868933051,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Species&Site","MixedInt",57,0.76678,373.07509,389.66568,0.56303,0.14179,0.58587,0.06917,1,0.57006,NA,"3.MixedInt_Species&Site",1.61675,1.92673,NA,NA,NA,NA,NA,NA,NA,0.732329533649225,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Species&Site","MixedIntSlope",58,0.81552,370.31638,400.17946,0.52761,0.13287,0.56262,0.07573,0,0.54099,NA,"3.MixedIntSlope_Species&Site",1.36527,2.083,NA,NA,NA,NA,NA,NA,NA,0.769850624159422,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Species","MixedInt",59,0.71642,393.83487,407.10735,0.61613,0.15517,0.62752,0.0764,0,0.61884,0.0212,"3.MixedInt_Species",1.74844,1.91901,NA,NA,NA,NA,NA,NA,NA,0.711312066553728,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Species","MixedIntSlope",60,0.73179,396.32429,416.23301,0.60753,0.153,0.63054,0.08859,0,0.61264,0.04461,"3.MixedIntSlope_Species",1.67407,1.96581,NA,NA,NA,NA,NA,NA,NA,0.722028942606923,NA,NA,NA,-Inf
4,"Comp.DBH.H.Den","Species&Site","MixedIntSlope",61,0.96046,53.78472,85.07289,0.23092,0.05794,0.24462,0.04582,1,0.23818,NA,"4.MixedIntSlope_Species&Site",-2.2243,0.9121,NA,NA,NA,NA,NA,NA,NA,0.947756063554705,NA,NA,NA,-Inf
4,"Comp.DBH.H.Den","Species","MixedInt",62,0.91915,144.56945,158.4753,0.31573,0.07922,0.32141,0.04459,0,0.31751,0.09496,"4.MixedInt_Species",-1.81248,0.853,NA,NA,NA,NA,NA,NA,NA,0.914979905299401,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Species&Site","MixedInt",63,0.82534,289.10781,305.69841,0.47798,0.12038,0.48318,0.0895,1,0.47873,NA,"5.MixedInt_Species&Site",0.32531,0.86886,NA,NA,NA,NA,NA,NA,NA,0.824680952863056,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Species&Site","MixedIntSlope",64,0.85632,284.87402,314.7371,0.44713,0.11261,0.46512,0.09065,1,0.45336,NA,"5.MixedIntSlope_Species&Site",0.08433,0.91391,NA,NA,NA,NA,NA,NA,NA,0.845800496655613,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Species","MixedInt",65,0.82534,287.10781,300.38029,0.47798,0.12038,0.47909,0.08403,0,0.47873,0.00397,"5.MixedInt_Species",0.32531,0.86886,NA,NA,NA,NA,NA,NA,NA,0.824681210848884,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Species","MixedIntSlope",66,0.83712,286.56657,306.47529,0.46697,0.1176,0.48127,0.05611,1,0.46953,NA,"5.MixedIntSlope_Species",0.17735,0.89685,NA,NA,NA,NA,NA,NA,NA,0.83734234184493,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Site","MixedInt",67,0.82338,287.1924,300.46488,0.47968,0.1208,0.47967,0.07188,1,0.47968,NA,"5.MixedInt_Site",0.34268,0.86504,NA,NA,NA,NA,NA,NA,NA,0.823375585373333,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Site","MixedIntSlope",68,0.84034,284.68902,304.59774,0.45948,0.11572,0.47068,0.05997,1,0.46394,NA,"5.MixedIntSlope_Site",0.19006,0.89245,NA,NA,NA,NA,NA,NA,NA,0.836545841475673,NA,NA,NA,-Inf
6,"DBH.cm, Height.m","Species&Site","MixedIntSlope",69,0.95594,88.88812,144.51154,0.24296,0.06096,0.30057,0.04392,0,0.25081,NA,"6.MixedIntSlope_Species&Site",-2.1508,1.97662,0.56539,NA,NA,1.10121,1.10121,NA,NA,0.902534728699913,0.249608941071482,NA,NA,1.10121
6,"DBH.cm, Height.m","Species","MixedIntSlope",70,0.9522,103.05491,137.81955,0.27143,0.06811,0.67018,0.08798,1,0.2746,NA,"6.MixedIntSlope_Species",-1.56832,2.05021,0.25674,NA,NA,1.01888,1.01888,NA,NA,0.894100543846909,0.0549355666363637,NA,NA,1.01888
6,"DBH.cm, Height.m","Site","MixedIntSlope",71,0.94461,119.51599,154.28062,0.27338,0.0686,0.31011,0.0425,1,0.28018,NA,"6.MixedIntSlope_Site",-2.04925,1.97724,0.53736,NA,NA,1.08364,1.08364,NA,NA,0.87509049811343,0.185125137069495,NA,NA,1.08364
7,"DBH.cm, CanopyDiameter.m","Species&Site","MixedIntSlope",72,0.95929,53.07218,106.1621,0.23329,0.05875,0.27226,0.02833,1,0.23864,NA,"7.MixedIntSlope_Species&Site",-1.00605,1.84153,0.37501,NA,NA,1.22593,1.22593,NA,NA,0.826958927004007,0.157561186473787,NA,NA,1.22593
7,"DBH.cm, CanopyDiameter.m","Species","MixedIntSlope",73,0.94202,97.60047,130.78167,0.2834,0.07137,0.33398,0.0423,1,0.28546,NA,"7.MixedIntSlope_Species",-0.94414,1.80777,0.43155,NA,NA,1.38885,1.38885,NA,NA,0.777302028699038,0.158045796257485,NA,NA,1.38885
7,"DBH.cm, CanopyDiameter.m","Site","MixedIntSlope",74,0.95663,55.34922,88.53042,0.24672,0.06213,0.3116,0.05643,1,0.25089,NA,"7.MixedIntSlope_Site",-1.02523,1.79208,0.4827,NA,NA,1.27237,1.27237,NA,NA,0.791481282867234,0.206280711862582,NA,NA,1.27237
8,"DBH.cm, WoodDensity.g.cm3","Species&Site","MixedIntSlope",75,0.9547,109.55219,166.76737,0.2585,0.06488,0.29326,0.06986,1,0.26462,NA,"8.MixedIntSlope_Species&Site",-0.51463,2.22779,2.63548,NA,NA,1.00024,1.00024,NA,NA,0.944954672716713,0.20956828596575,NA,NA,1.00024
8,"DBH.cm, WoodDensity.g.cm3","Species","MixedIntSlope",76,0.93686,157.93018,193.68967,0.30727,0.07712,0.32691,0.06581,1,0.30894,NA,"8.MixedIntSlope_Species",-0.22538,2.18687,3.2181,NA,NA,1.00131,1.00131,NA,NA,0.928653146042273,0.237252336868867,NA,NA,1.00131
8,"DBH.cm, WoodDensity.g.cm3","Site","MixedIntSlope",77,0.96384,48.19225,83.95174,0.23288,0.05845,0.30038,0.08496,1,0.23869,NA,"8.MixedIntSlope_Site",-0.31802,2.23915,3.28878,NA,NA,1,1,NA,NA,0.947813238254867,0.301859696183494,NA,NA,1
9,"Height.m, CanopyDiameter.m","Species&Site","MixedInt",78,0.85893,262.24812,282.15684,0.43368,0.10922,0.44527,0.09228,1,0.43811,NA,"9.MixedInt_Species&Site",-1.30412,1.60492,1.46689,NA,NA,1.31573,1.31573,NA,NA,0.710850185418611,0.572880886937517,NA,NA,1.31573
9,"Height.m, CanopyDiameter.m","Species&Site","MixedIntSlope",79,0.87459,276.56181,329.65173,0.42041,0.10588,0.46659,0.11777,1,0.42581,NA,"9.MixedIntSlope_Species&Site",-1.56405,1.74399,1.43551,NA,NA,1.19692,1.19692,NA,NA,0.706162380107546,0.617833941653976,NA,NA,1.19692
9,"Height.m, CanopyDiameter.m","Species","MixedInt",80,0.84501,262.55266,279.14326,0.44936,0.11317,0.45308,0.06597,1,0.44936,NA,"9.MixedInt_Species",-0.83071,1.34563,1.55879,NA,NA,1.1334,1.1334,NA,NA,0.734425255620052,0.484337532941513,NA,NA,1.1334
9,"Height.m, CanopyDiameter.m","Species","MixedIntSlope",81,0.8551,268.20741,301.38861,0.43763,0.11021,0.44661,0.08843,1,0.44005,NA,"9.MixedIntSlope_Species",-0.9176,1.36079,1.58438,NA,NA,1.03999,1.03999,NA,NA,0.743407360630421,0.493434165632664,NA,NA,1.03999
9,"Height.m, CanopyDiameter.m","Site","MixedInt",82,0.85893,260.24812,276.83872,0.43368,0.10922,0.45413,0.05892,0,0.43811,0.08762,"9.MixedInt_Site",-1.30412,1.60492,1.46689,NA,NA,1.31573,1.31573,NA,NA,0.709144337631961,0.570852510464665,NA,NA,1.31573
9,"Height.m, CanopyDiameter.m","Site","MixedIntSlope",83,0.88398,254.384,287.5652,0.40511,0.10202,0.45846,0.09129,1,0.4123,NA,"9.MixedIntSlope_Site",-1.85215,1.85246,1.39483,NA,NA,1.08494,1.08494,NA,NA,0.704746872607283,0.657399957802139,NA,NA,1.08494
10,"Height.m, WoodDensity.g.cm3","Species&Site","MixedIntSlope",84,0.77284,557.47636,613.09978,0.67322,0.16892,0.78873,0.13272,1,0.68676,NA,"10.MixedIntSlope_Species&Site",-2.49461,3.12715,1.92804,NA,NA,1.00095,1.00095,NA,NA,0.677066041534992,0.0212040669949015,NA,NA,1.00095
10,"Height.m, WoodDensity.g.cm3","Species","MixedIntSlope",85,0.54331,597.88335,632.64798,0.79314,0.19901,0.83286,0.15658,1,0.79776,NA,"10.MixedIntSlope_Species",-0.24619,2.33384,3.00089,NA,NA,1.00136,1.00136,NA,NA,0.485192828723052,0.0406342521486175,NA,NA,1.00136
11,"CanopyDiameter.m, WoodDensity.g.cm3","Species&Site","MixedInt",86,0.76718,374.5347,394.44342,0.56218,0.14158,0.57461,0.11923,1,0.56922,NA,"11.MixedInt_Species&Site",1.40742,1.93924,-0.55546,NA,NA,1.03954,1.03954,NA,NA,0.722390076315084,0.00250522289728938,NA,NA,1.03954
11,"CanopyDiameter.m, WoodDensity.g.cm3","Species&Site","MixedIntSlope",87,0.81624,384.85934,437.94926,0.53293,0.13421,0.59511,0.11634,1,0.54464,NA,"11.MixedIntSlope_Species&Site",2.29131,2.01857,2.4351,NA,NA,1.00008,1.00008,NA,NA,0.747363402419034,0.048204164254071,NA,NA,1.00008
11,"CanopyDiameter.m, WoodDensity.g.cm3","Species","MixedInt",88,0.71417,395.65207,412.24267,0.61629,0.15521,0.6332,0.08848,0,0.61887,0.01894,"11.MixedInt_Species",1.56155,1.92299,-0.52911,NA,NA,1.02758,1.02758,NA,NA,0.698814512097905,0.00206220266447454,NA,NA,1.02758
