"ModelN","Model","MixedEffects","Effects","masterrank_global","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
1,"DBH.cm",NA,"Fixed",29,0.93145,871.77524,884.43701,0.57217,0.25753,0.57016,0.07856,NA,0.57331,NA,"1.Fixed",-0.9557,1.98222,NA,NA,NA,NA,NA,NA,NA,0.931454105456035,NA,NA,NA,-Inf
9,"Height.m, CanopyDiameter.m",NA,"Fixed",30,0.9598,1069.84614,1087.04928,0.64097,1.07013,0.64483,0.0488,NA,0.64274,NA,"9.Fixed",-0.97649,1.40076,1.34896,NA,NA,4.99639,4.99639,NA,NA,0.575895945293001,0.538694253944294,NA,NA,4.99639
15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",NA,"Fixed",31,0.95983,1071.45218,1092.9561,0.64074,1.06974,0.63862,0.09526,NA,0.64311,NA,"15.Fixed",-0.8747,1.40968,1.34165,0.3278,NA,5.32366,5.27264,1.0657,NA,0.560200962154501,0.526240321805706,0.000722601593990022,NA,5.32366
2,"Height.m","Species&Site","MixedIntSlope",32,0.9631,1366.06069,1405.79656,0.67408,0.87764,0.69889,0.05315,0,0.6851,0.78956,"2.MixedIntSlope_Species&Site",-2.83366,2.96589,NA,NA,NA,NA,NA,NA,NA,0.950631224930835,NA,NA,NA,-Inf
5,"Comp.Can.H.Den","Species&Site","MixedInt",33,0.95315,1142.63265,1164.13657,0.66773,1.11479,0.6802,0.06843,0,0.67247,0.11555,"5.MixedInt_Species&Site",-0.0049,0.86345,NA,NA,NA,NA,NA,NA,NA,0.950960144573371,NA,NA,NA,-Inf
5,"Comp.Can.H.Den",NA,"Fixed",34,0.95281,1155.13103,1168.03339,0.69441,1.15935,0.69696,0.0452,NA,0.69569,NA,"5.Fixed",-0.08245,0.89199,NA,NA,NA,NA,NA,NA,NA,0.952812877560213,NA,NA,NA,-Inf
2,"Height.m","Site","MixedIntSlope",35,0.95926,1387.13685,1413.62744,0.69735,0.90793,0.71454,0.06197,0,0.70663,0.75073,"2.MixedIntSlope_Site",-2.74473,2.93227,NA,NA,NA,NA,NA,NA,NA,0.943300736184467,NA,NA,NA,-Inf
3,"CanopyDiameter.m","Site","MixedIntSlope",36,0.93569,1380.8517,1406.65641,0.8165,1.36317,0.83244,0.09212,0,0.82453,0.32833,"3.MixedIntSlope_Site",0.35029,2.49575,NA,NA,NA,NA,NA,NA,NA,0.927257931171388,NA,NA,NA,-Inf
2,"Height.m","Species&Site","MixedInt",37,0.93671,1456.3792,1478.45468,0.75847,0.98751,0.76857,0.08521,0,0.76508,0.48788,"2.MixedInt_Species&Site",-2.3177,2.60707,NA,NA,NA,NA,NA,NA,NA,0.927459720534456,NA,NA,NA,-Inf
10,"Height.m, WoodDensity.g.cm3","Species&Site","MixedInt",38.5,0.93553,1454.73112,1481.2217,0.76052,0.99018,0.77079,0.09665,0,0.76612,0.44575,"10.MixedInt_Species&Site",-1.431,2.60561,2.59649,NA,NA,1.00414,1.00414,NA,NA,0.927634459002805,0.0312860339658856,NA,NA,1.00414
