"size","VarGroup","Model","ModelN","NumPredictors","NumObservations","MixedEffects","Rsq_Fixed","Rsq_MixedInt","Rsq_MixedIntSlope","AIC_Fixed","AIC_MixedInt","AIC_MixedIntSlope","BIC_Fixed","BIC_MixedInt","BIC_MixedIntSlope","RMdSE_lin_Fixed","RelRMdSE_lin_Fixed","RMSE_lin_Fixed","RelRMSE_lin_Fixed","RMSE_log_Fixed","RMSE_log.CVmean_Fixed","RMSE_log.CVsd_Fixed","RMdSE_lin_MixedInt","RelRMdSE_lin_MixedInt","RMSE_lin_MixedInt","RelRMSE_lin_MixedInt","RMSE_log_MixedInt","RMdSE_lin_MixedIntSlope","RelRMdSE_lin_MixedIntSlope","RMSE_lin_MixedIntSlope","RelRMSE_lin_MixedIntSlope","RMSE_log_MixedIntSlope","RMSE_log.CVmean_MixedInt","RMSE_log.CVmean_MixedIntSlope","RMSE_log.CVsd_MixedInt","RMSE_log.CVsd_MixedIntSlope","Sig_Fixed","Singular_MixedInt","Singular_MixedIntSlope","Sig_MixedInt","Sig_MixedIntSlope","ICC_MixedInt","ICC_MixedIntSlope"
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",10,2,204,"Species&Site",0.45099,0.76731,0.77509,517.721,453.52751,473.09203,530.99348,473.43623,526.18195,34.5809057640757,66.9614126359453,103.071587152386,104.873854994128,0.84398,0.85103,0.10386,24.608453369203,47.6510595653469,105.799153241907,107.649114194672,0.66937,24.7498571233338,47.9248694878869,102.83857914414,104.636772702641,0.66572,0.69126,0.7265,0.16657,0.09791,0.85026,0,1,0.68057,0.67778,0.41231,NA
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",10,2,204,"Species",0.45099,0.55451,0.60139,517.721,498.54005,500.13574,530.99348,515.13065,533.31693,34.5809057640757,66.9614126359453,103.071587152386,104.873854994128,0.84398,0.85103,0.10386,28.1616307304903,54.5313239829732,98.6687532258056,100.394034904652,0.78148,26.9818295475986,52.2467929075017,98.749849180604,100.476548870325,0.76429,0.79138,1.44768,0.106,0.23572,0.85026,0,1,0.78679,0.76957,0.13961,NA
"5cm",10,"logHeight.m, logWoodDensity.g.cm3",10,2,204,"Site",0.45099,0.76624,0.80716,517.721,452.42235,443.42817,530.99348,469.01295,476.60937,34.5809057640757,66.9614126359453,103.071587152386,104.873854994128,0.84398,0.85103,0.10386,24.891586761271,48.1993104419038,107.586999914021,109.46822242637,0.67555,25.2146732967865,48.8249253685158,96.5986902000853,98.2877755989997,0.64166,0.69693,2.34673,0.11387,0.52613,0.85026,0,1,0.68473,0.65076,0.42779,NA
"5cm",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,204,"Species&Site",0.69952,0.76718,0.81612,394.76236,374.5347,384.85942,408.03484,394.44342,437.94934,23.6895000249877,45.8716262996312,83.3866564429859,84.8447215944947,0.62438,0.62511,0.08809,19.9637791710946,38.6572539183543,72.16382805748,73.4256553974697,0.56218,18.0067324817389,34.8676883179675,69.3482524167126,70.56084774647,0.53291,0.57676,0.61332,0.1038,0.09026,0.62903,1,1,0.56922,0.54465,NA,NA
"5cm",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,204,"Species",0.69952,0.71417,0.72915,394.76236,395.65207,403.45757,408.03484,412.24267,436.63877,23.6895000249877,45.8716262996312,83.3866564429859,84.8447215944947,0.62438,0.62511,0.08809,23.7633283817536,46.0145852809649,83.593899287781,85.0555882033641,0.61629,20.5000155389044,39.695605687978,82.649384275748,84.0945577860749,0.60632,0.62023,0.69136,0.10776,0.14388,0.62903,0,1,0.61887,0.61107,0.01894,NA
"5cm",11,"logCanopyDiameter.m, logWoodDensity.g.cm3",11,2,204,"Site",0.69952,0.76718,0.80272,394.76236,372.5347,374.46346,408.03484,389.1253,407.64466,23.6895000249877,45.8716262996312,83.3866564429859,84.8447215944947,0.62438,0.62511,0.08809,19.9637794701463,38.6572544974289,72.16382787609,73.425655212908,0.56218,17.480042853544,33.8478225641541,69.9045260673566,71.1268481718679,0.53565,0.57847,0.70531,0.11069,0.10043,0.62903,0,1,0.56922,0.54725,0.2403,NA
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,"Species&Site",0.93915,0.9605,0.97327,70.97163,26.44317,12.65342,87.56223,49.67001,88.97018,8.02169003039311,15.5329562454901,46.3257990242247,47.1358330998709,0.28097,0.28416,0.04418,6.16521606158386,11.9381365978662,38.5859725425781,39.260671161054,0.23248,5.20337096847939,10.0756490560235,27.9471855270186,28.4358586437727,0.19142,0.24261,0.90652,0.05725,0.16935,0.28377,0,1,0.23662,0.19962,0.42893,NA
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,"Species",0.93915,0.94958,0.96274,70.97163,47.59758,58.58841,87.56223,67.5063,105.04209,8.02169003039311,15.5329562454901,46.3257990242247,47.1358330998709,0.28097,0.28416,0.04418,6.33208119883908,12.2612491671705,46.3952157250395,47.2064635928763,0.25688,6.04047786585155,11.6965973549997,44.8326608343912,45.616586503083,0.24469,0.26481,0.34156,0.03822,0.17874,0.28377,0,1,0.25867,0.24772,0.18417,NA
"5cm",12,"logDBH.cm, logHeight.m, logCanopyDiameter.m",12,3,204,"Site",0.93915,0.95357,0.96424,70.97163,49.36321,38.51209,87.56223,69.27192,84.96577,8.02169003039311,15.5329562454901,46.3257990242247,47.1358330998709,0.28097,0.28416,0.04418,6.85373917795401,13.2713717889625,40.3758968807657,41.0818933880487,0.25302,7.28373325490354,14.1039992225545,30.9102687173745,31.4507531013645,0.22335,0.2595,1.34829,0.05788,0.30577,0.28377,0,1,0.25622,0.23028,0.25901,NA
"5cm",13,"logDBH.cm, logHeight.m, logWoodDensity.g.cm3",13,3,204,"Species&Site",0.92983,0.94889,0.97172,100.04036,74.73521,32.38888,116.63096,97.96205,108.70564,10.2179483561883,19.7857239726292,54.1557095193865,55.1026542246157,0.30172,0.3036,0.04348,8.19307185257571,15.8648147859159,48.4815432930016,49.3292718359396,0.26834,5.98483447325778,11.5888511844003,29.0434695799273,29.5513118736444,0.20517,0.27674,0.88291,0.05646,0.11104,0.30472,1,1,0.27169,0.2123,NA,NA
