"VarGroup","MixedEffects","Model","ModelN","NumPredictors","(Intercept)_Fixed","(Intercept)_MixedInt","(Intercept)_MixedIntSlope","slope.var1_Fixed","slope.var1_MixedInt","slope.var1_MixedIntSlope","slope.var2_Fixed","slope.var2_MixedInt","slope.var2_MixedIntSlope","slope.var3_Fixed","slope.var3_MixedInt","slope.var3_MixedIntSlope","slope.var4_Fixed","slope.var4_MixedInt","slope.var4_MixedIntSlope","VIF.var1_Fixed","VIF.var1_MixedInt","VIF.var1_MixedIntSlope","VIF.var2_Fixed","VIF.var2_MixedInt","VIF.var2_MixedIntSlope","VIF.var3_Fixed","VIF.var3_MixedInt","VIF.var3_MixedIntSlope","VIF.var4_Fixed","VIF.var4_MixedInt","VIF.var4_MixedIntSlope","Rsq.var1_Fixed","Rsq.var1_MixedInt","Rsq.var1_MixedIntSlope","Rsq.var2_Fixed","Rsq.var2_MixedInt","Rsq.var2_MixedIntSlope","Rsq.var3_Fixed","Rsq.var3_MixedInt","Rsq.var3_MixedIntSlope","Rsq.var4_Fixed","Rsq.var4_MixedInt","Rsq.var4_MixedIntSlope","maxVIF_Fixed","maxVIF_MixedInt","maxVIF_MixedIntSlope"
9,"Species&Site","Height.m, CanopyDiameter.m",9,2,-0.83071,-1.30412,-1.56405,1.34563,1.60492,1.74399,1.55879,1.46689,1.43551,NA,NA,NA,NA,NA,NA,1.1334,1.31573,1.19692,1.1334,1.31573,1.19692,NA,NA,NA,NA,NA,NA,0.733465699139455,0.710850185418611,0.706162380107546,0.4831103316338,0.572880886937517,0.617833941653976,NA,NA,NA,NA,NA,NA,1.1334,1.31573,1.19692
9,"Species","Height.m, CanopyDiameter.m",9,2,-0.83071,-0.83071,-0.9176,1.34563,1.34563,1.36079,1.55879,1.55879,1.58438,NA,NA,NA,NA,NA,NA,1.1334,1.1334,1.03999,1.1334,1.1334,1.03999,NA,NA,NA,NA,NA,NA,0.733465699139455,0.734425255620052,0.743407360630421,0.4831103316338,0.484337532941513,0.493434165632664,NA,NA,NA,NA,NA,NA,1.1334,1.1334,1.03999
9,"Site","Height.m, CanopyDiameter.m",9,2,-0.83071,-1.30412,-1.85215,1.34563,1.60492,1.85246,1.55879,1.46689,1.39483,NA,NA,NA,NA,NA,NA,1.1334,1.31573,1.08494,1.1334,1.31573,1.08494,NA,NA,NA,NA,NA,NA,0.733465699139455,0.709144337631961,0.704746872607283,0.4831103316338,0.570852510464665,0.657399957802139,NA,NA,NA,NA,NA,NA,1.1334,1.31573,1.08494
10,"Species&Site","Height.m, WoodDensity.g.cm3",10,2,0.39058,-2.14181,-2.49461,2.04808,3.04173,3.12715,2.93366,2.40038,1.92804,NA,NA,NA,NA,NA,NA,1.00001,1.00003,1.00095,1.00001,1.00003,1.00095,NA,NA,NA,NA,NA,NA,0.39963714060946,0.662217506138398,0.677066041534992,0.0357949661994532,0.0321203439195996,0.0212040669949015,NA,NA,NA,NA,NA,NA,1.00001,1.00003,1.00095
10,"Species","Height.m, WoodDensity.g.cm3",10,2,0.39058,0.0351,-0.24619,2.04808,2.18016,2.33384,2.93366,2.73474,3.00089,NA,NA,NA,NA,NA,NA,1.00001,1.00001,1.00136,1.00001,1.00001,1.00136,NA,NA,NA,NA,NA,NA,0.39963714060946,0.443420027209897,0.485192828723052,0.0357949661994532,0.0329510307177706,0.0406342521486175,NA,NA,NA,NA,NA,NA,1.00001,1.00001,1.00136
10,"Site","Height.m, WoodDensity.g.cm3",10,2,0.39058,-2.12203,-2.70951,2.04808,3.0154,3.28666,2.93366,2.29912,2.56345,NA,NA,NA,NA,NA,NA,1.00001,1.00003,1.00105,1.00001,1.00003,1.00105,NA,NA,NA,NA,NA,NA,0.39963714060946,0.627680699044678,0.681264642676833,0.0357949661994532,0.0259486825218575,0.0341365411021143,NA,NA,NA,NA,NA,NA,1.00001,1.00003,1.00105
11,"Species&Site","CanopyDiameter.m, WoodDensity.g.cm3",11,2,1.60573,1.40742,2.29131,1.88486,1.93924,2.01857,-0.52738,-0.55546,2.4351,NA,NA,NA,NA,NA,NA,1.06778,1.03954,1.00008,1.06778,1.03954,1.00008,NA,NA,NA,NA,NA,NA,0.688671201826917,0.722390076315084,0.747363402419034,0.0020330739872976,0.00250522289728938,0.048204164254071,NA,NA,NA,NA,NA,NA,1.06778,1.03954,1.00008
11,"Species","CanopyDiameter.m, WoodDensity.g.cm3",11,2,1.60573,1.56155,1.17372,1.88486,1.92299,1.976,-0.52738,-0.52911,-1.38732,NA,NA,NA,NA,NA,NA,1.06778,1.02758,1.02222,1.06778,1.02758,1.02222,NA,NA,NA,NA,NA,NA,0.688671201826917,0.698814512097905,0.710968218365533,0.0020330739872976,0.00206220266447454,0.0140634749058687,NA,NA,NA,NA,NA,NA,1.06778,1.02758,1.02222
11,"Site","CanopyDiameter.m, WoodDensity.g.cm3",11,2,1.60573,1.40742,1.9191,1.88486,1.93924,1.97665,-0.52738,-0.55546,1.14699,NA,NA,NA,NA,NA,NA,1.06778,1.03954,1.00077,1.06778,1.03954,1.00077,NA,NA,NA,NA,NA,NA,0.688671201826917,0.716036914807886,0.736420384853421,0.0020330739872976,0.00242782190041756,0.0109459168725588,NA,NA,NA,NA,NA,NA,1.06778,1.03954,1.00077
12,"Species&Site","DBH.cm, Height.m, CanopyDiameter.m",12,3,-1.52055,-1.61483,-1.79735,1.33717,1.58825,1.75285,0.68197,0.49111,0.47476,0.59758,0.49523,0.37026,NA,NA,NA,3.99321,4.22674,1.18927,1.55649,2.24153,1.05545,3.08071,2.77134,1.13084,NA,NA,NA,0.609029316821903,0.731483166926254,0.802611356003265,0.308969673986481,0.244702454236953,0.247645072483141,0.275657408816667,0.22325299241684,0.181625159396242,NA,NA,NA,3.99321,4.22674,1.18927
