"ModelN","VarGroup","Effects","MixedEffects","Model","NumPredictors","ModelName","(Intercept)","slope.var1","slope.var2","slope.var3","slope.var4","VIF.var1","VIF.var2","VIF.var3","VIF.var4","Rsq.var1","Rsq.var2","Rsq.var3","Rsq.var4","maxVIF"
15,15,"Fixed",NA,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"15.Fixed",-0.74369,1.34956,1.55106,0.24948,NA,1.14378,1.22131,1.07757,NA,0.716771621676191,0.482509090205051,0.000872247804921696,NA,1.22131
5,5,"Fixed",NA,"Comp.Can.H.Den",1,"5.Fixed",0.34268,0.86504,NA,NA,NA,NA,NA,NA,NA,0.822659812920654,NA,NA,NA,-Inf
3,3,"MixedIntSlope","Site","CanopyDiameter.m",1,"3.MixedIntSlope_Site",1.43646,2.0455,NA,NA,NA,NA,NA,NA,NA,0.754237198841857,NA,NA,NA,-Inf
11,11,"MixedInt","Site","CanopyDiameter.m, WoodDensity.g.cm3",2,"11.MixedInt_Site",1.40742,1.93924,-0.55546,NA,NA,1.03954,1.03954,NA,NA,0.716036914807886,0.00242782190041756,NA,NA,1.03954
3,3,"MixedInt","Site","CanopyDiameter.m",1,"3.MixedInt_Site",1.61675,1.92673,NA,NA,NA,NA,NA,NA,NA,0.726193858895181,NA,NA,NA,-Inf
3,3,"Fixed",NA,"CanopyDiameter.m",1,"3.Fixed",1.80599,1.87045,NA,NA,NA,NA,NA,NA,NA,0.698910146936621,NA,NA,NA,-Inf
11,11,"Fixed",NA,"CanopyDiameter.m, WoodDensity.g.cm3",2,"11.Fixed",1.60573,1.88486,-0.52738,NA,NA,1.06778,1.06778,NA,NA,0.688671201826917,0.0020330739872976,NA,NA,1.06778
10,10,"MixedIntSlope","Site","Height.m, WoodDensity.g.cm3",2,"10.MixedIntSlope_Site",-2.70951,3.28666,2.56345,NA,NA,1.00105,1.00105,NA,NA,0.681264642676833,0.0341365411021143,NA,NA,1.00105
2,2,"MixedIntSlope","Site","Height.m",1,"2.MixedIntSlope_Site",-3.42479,3.21897,NA,NA,NA,NA,NA,NA,NA,0.661273273380141,NA,NA,NA,-Inf
2,2,"MixedInt","Species&Site","Height.m",1,"2.MixedInt_Species&Site",-2.98099,3.0502,NA,NA,NA,NA,NA,NA,NA,0.66150204497107,NA,NA,NA,-Inf
10,10,"MixedInt","Site","Height.m, WoodDensity.g.cm3",2,"10.MixedInt_Site",-2.12203,3.0154,2.29912,NA,NA,1.00003,1.00003,NA,NA,0.627680699044678,0.0259486825218575,NA,NA,1.00003
10,10,"MixedInt","Species&Site","Height.m, WoodDensity.g.cm3",2,"10.MixedInt_Species&Site",-2.14181,3.04173,2.40038,NA,NA,1.00003,1.00003,NA,NA,0.662217506138398,0.0321203439195996,NA,NA,1.00003
2,2,"MixedInt","Site","Height.m",1,"2.MixedInt_Site",-2.90206,3.01115,NA,NA,NA,NA,NA,NA,NA,0.620295638445854,NA,NA,NA,-Inf
2,2,"MixedInt","Species","Height.m",1,"2.MixedInt_Species",-0.9094,2.18405,NA,NA,NA,NA,NA,NA,NA,0.442590798644067,NA,NA,NA,-Inf
