"VarGroup","Model","ModelN","NumPredictors","MixedEffects","Rsq_Fixed","Rsq_MixedInt","Rsq_MixedIntSlope","AIC_Fixed","AIC_MixedInt","AIC_MixedIntSlope","BIC_Fixed","BIC_MixedInt","BIC_MixedIntSlope","RMSE_Fixed","RMSE.Std_Fixed","RMSE.CVmean_Fixed","RMSE.CVsd_Fixed","RMSE_MixedInt","RMSE_MixedIntSlope","RMSE.Std_MixedInt","RMSE.Std_MixedIntSlope","RMSE.CVmean_MixedInt","RMSE.CVmean_MixedIntSlope","RMSE.CVsd_MixedInt","RMSE.CVsd_MixedIntSlope","Sig_Fixed","Singular_MixedInt","Singular_MixedIntSlope","Sig_MixedInt","Sig_MixedIntSlope","ICC_MixedInt","ICC_MixedIntSlope","ICC2_MixedInt","ICC2_MixedIntSlope"
9,"Height.m, CanopyDiameter.m",9,2,"Site",0.9598,0.96113,0.97832,1069.84614,1036.59921,892.44034,1087.04928,1058.10314,935.4482,0.64097,1.07013,0.64483,0.0488,0.60621,0.50848,1.01209,0.84892,0.61202,0.68627,0.08762,0.10116,0.64274,0,1,0.60986,0.51459,0.16543,NA,0.16543,0.59654
10,"Height.m, WoodDensity.g.cm3",10,2,"Species&Site",0.90812,0.93553,0.93983,1684.73084,1454.73112,1455.10372,1702.39123,1481.2217,1525.74528,0.95426,1.24242,0.95239,0.11205,0.76052,0.74038,0.99018,0.96395,0.77079,0.9457,0.09665,0.14774,0.95661,0,1,0.76612,0.74827,0.44575,NA,0.44575,0.48969
10,"Height.m, WoodDensity.g.cm3",10,2,"Species",0.90812,0.91287,0.91532,1684.73084,1670.65859,1676.90651,1702.39123,1692.73408,1721.05748,0.95426,1.24242,0.95239,0.11205,0.93471,0.92707,1.21697,1.20702,0.93968,0.94602,0.06641,0.10718,0.95661,0,1,0.93675,0.93019,0.03736,NA,0.03736,0.1216
10,"Height.m, WoodDensity.g.cm3",10,2,"Site",0.90812,0.93547,0.9622,1684.73084,1452.73466,1370.58644,1702.39123,1474.81015,1414.73741,0.95426,1.24242,0.95239,0.11205,0.76081,0.68177,0.99055,0.88764,0.77187,1.03808,0.07322,0.17152,0.95661,0,1,0.7663,0.69098,0.44341,NA,0.44341,0.7825
11,"CanopyDiameter.m, WoodDensity.g.cm3",11,2,"Species&Site",0.9152,0.9184,0.91916,1476.5972,1426.97366,1444.04229,1493.80035,1452.77837,1512.85486,0.9309,1.55418,0.93667,0.09491,0.86445,0.85762,1.44323,1.43183,0.87169,0.93764,0.07073,0.08995,0.93347,1,1,0.86972,0.86474,NA,NA,0.19892,0.22293
11,"CanopyDiameter.m, WoodDensity.g.cm3",11,2,"Species",0.9152,0.91633,0.91623,1476.5972,1475.16457,1483.53497,1493.80035,1496.6685,1526.54283,0.9309,1.55418,0.93667,0.09491,0.92311,0.92035,1.54117,1.53655,0.92846,0.93354,0.06714,0.10623,0.93347,0,1,0.9249,0.9224,0.01274,NA,0.01274,0.01374
11,"CanopyDiameter.m, WoodDensity.g.cm3",11,2,"Site",0.9152,0.9184,0.93824,1476.5972,1424.97366,1375.63332,1493.80035,1446.47759,1418.64118,0.9309,1.55418,0.93667,0.09491,0.86445,0.80532,1.44323,1.34451,0.87786,0.9062,0.08511,0.12395,0.93347,0,1,0.86972,0.8136,0.19895,NA,0.19895,0.40878
12,"DBH.cm, Height.m, CanopyDiameter.m",12,3,"Species&Site",0.97147,0.97607,0.98528,278.60894,249.03935,154.22343,297.73894,275.82136,242.22143,0.3596,0.14236,0.36239,0.05806,0.33071,0.25744,0.13092,0.10192,0.3361,0.44208,0.07185,0.07081,0.36174,0,1,0.33407,0.264,0.16025,NA,0.16025,0.67225
12,"DBH.cm, Height.m, CanopyDiameter.m",12,3,"Species",0.97147,0.97349,0.97475,278.60894,262.58028,271.35683,297.73894,285.53628,324.92083,0.3596,0.14236,0.36239,0.05806,0.34529,0.33586,0.13669,0.13296,0.3462,0.36717,0.07078,0.05663,0.36174,0,1,0.34667,0.33851,0.0717,NA,0.0717,0.31176
12,"DBH.cm, Height.m, CanopyDiameter.m",12,3,"Site",0.97147,0.97384,0.98253,278.60894,269.2132,176.05909,297.73894,292.1692,229.62309,0.3596,0.14236,0.36239,0.05806,0.34657,0.28032,0.1372,0.11097,0.35205,0.41748,0.06554,0.0493,0.36174,0,1,0.34896,0.28574,0.05897,NA,0.05897,0.59561
13,"DBH.cm, Height.m, WoodDensity.g.cm3",13,3,"Species&Site",0.96199,0.96525,0.97908,457.86175,436.48466,322.7233,477.88119,464.51187,414.8127,0.42062,0.17049,0.42386,0.06216,0.39815,0.31066,0.16138,0.12592,0.40276,0.49262,0.06973,0.06653,0.42271,1,1,0.40123,0.31794,NA,NA,0.08087,0.59221
13,"DBH.cm, Height.m, WoodDensity.g.cm3",13,3,"Species",0.96199,0.96208,0.96266,457.86175,459.86175,471.74596,477.88119,483.88507,527.80038,0.42062,0.17049,0.42386,0.06216,0.42062,0.41513,0.17049,0.16827,0.42262,0.42167,0.05107,0.04605,0.42271,1,1,0.42062,0.41629,NA,NA,0,0.04497
13,"DBH.cm, Height.m, WoodDensity.g.cm3",13,3,"Site",0.96199,0.96525,0.97843,457.86175,434.48466,308.37776,477.88119,458.50798,364.43218,0.42062,0.17049,0.42386,0.06216,0.39815,0.31498,0.16138,0.12767,0.40709,0.46728,0.05549,0.11872,0.42271,0,1,0.40123,0.32153,0.08087,NA,0.08087,0.55338
14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",14,3,"Species&Site",0.96188,0.96944,0.98206,376.75093,342.22299,219.84384,395.88093,369.00499,307.84184,0.41561,0.16453,0.41635,0.07091,0.37955,0.28861,0.15026,0.11425,0.38943,0.31757,0.06329,0.07544,0.41808,0,1,0.38315,0.29418,0.18592,NA,0.18592,0.66838
14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",14,3,"Species",0.96188,0.96308,0.96686,376.75093,375.58215,363.29934,395.88093,398.53815,416.86335,0.41561,0.16453,0.41635,0.07091,0.41004,0.39059,0.16233,0.15463,0.41458,0.40489,0.08393,0.09312,0.41808,0,1,0.41135,0.3922,0.02228,NA,0.02228,0.12895
14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",14,3,"Site",0.96188,0.96937,0.98168,376.75093,340.39589,202.22105,395.88093,363.35189,255.78505,0.41561,0.16453,0.41635,0.07091,0.38052,0.29138,0.15064,0.11535,0.38435,0.32771,0.08056,0.08901,0.41808,0,1,0.38368,0.29646,0.19141,NA,0.19141,0.59888
15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",15,3,"Species&Site",0.95983,0.96134,0.97913,1071.45218,1039.67326,905.85775,1092.9561,1069.77876,1004.77582,0.64074,1.06974,0.63862,0.09526,0.60407,0.49768,1.00852,0.8309,0.6141,0.66953,0.05483,0.10532,0.64311,0,1,0.60821,0.50501,0.1878,NA,0.1878,0.63389
15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",15,3,"Species",0.95983,0.9599,0.96262,1071.45218,1073.45218,1071.01617,1092.9561,1099.25689,1131.22718,0.64074,1.06974,0.63862,0.09526,0.64074,0.61675,1.06974,1.02969,0.64353,0.62542,0.06792,0.07948,0.64311,1,1,0.64074,0.6198,NA,NA,0,0.30647
15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",15,3,"Site",0.95983,0.96115,0.97849,1071.45218,1037.87173,898.62125,1092.9561,1063.67644,958.83225,0.64074,1.06974,0.63862,0.09526,0.60576,0.5073,1.01134,0.84696,0.61266,0.91285,0.05777,0.1592,0.64311,0,1,0.60941,0.51342,0.16697,NA,0.16697,0.60878
16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",16,4,"Species&Site",0.97372,0.97614,0.98418,252.76964,243.33164,177.34765,275.72564,273.93964,292.12765,0.34513,0.13663,0.34972,0.03924,0.33119,0.26753,0.13111,0.10591,0.34064,0.51424,0.03881,0.09377,0.34771,1,1,0.33356,0.27235,NA,NA,0.06809,0.69199
16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",16,4,"Species",0.97372,0.97379,0.97461,252.76964,254.76964,269.43254,275.72564,281.55164,338.30055,0.34513,0.13663,0.34972,0.03924,0.34513,0.33748,0.13663,0.1336,0.34835,0.34315,0.05746,0.08068,0.34771,1,1,0.34513,0.33876,NA,NA,0,0.08695
16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",16,4,"Site",0.97372,0.97614,0.98505,252.76964,241.33164,141.30106,275.72564,268.11364,210.16906,0.34513,0.13663,0.34972,0.03924,0.33119,0.25931,0.13111,0.10266,0.33519,0.46341,0.0632,0.12984,0.34771,0,1,0.33356,0.26529,0.06809,NA,0.06809,0.6391
