"","Model","RMSE_log","RMSE_log_scaled","RMSE_lin_bias","RMSE_lin_bask","RMSE_lin_bias_scaled","RMSE_lin_bask_scaled","meanAGB","RRMSE_lin_bask_scaled"
"14","2.MixedIntSlope_Site",0.697352074140448,0.697352100004557,66.613426186312,64.5922736228671,66.6134338090024,64.5922834915385,38.9916792505074,165.656582976477
"15","3.Fixed",0.94372482887019,0.94372482887019,55.7692668522959,51.8919122415492,55.7692668522959,51.8919122415491,37.6207445358899,137.934304282693
"16","3.MixedInt_Species&Site",0.864040653046409,0.86404065346649,48.5410760323076,49.9634000239013,48.5410761842316,49.9633992165486,37.6207445358899,132.808108486221
"17","3.MixedIntSlope_Species&Site",0.807783291157455,0.807783556434027,52.2273458220002,78.55210244405,52.2286925201788,78.554920664098,37.6207445358899,208.807458845364
"18","3.MixedInt_Species",0.92265914018061,0.922659140176038,58.3286132513603,51.5927229454108,58.3286132544169,51.5927229479912,37.6207445358899,137.139026844012
"19","3.MixedIntSlope_Species",0.919200955089305,0.919200966636172,56.7740102778221,50.8715685109989,56.7739802875012,50.8715704860383,37.6207445358899,135.222125754335
"20","3.MixedInt_Site",0.874301606745999,0.874301606745999,46.6541700750836,48.8492827740701,46.6541700750837,48.84928277407,37.6207445358899,129.846666717263
"21","3.MixedIntSlope_Site",0.816495032646255,0.816495067552216,51.5005158757233,78.7708370331752,51.5005991414008,78.771010543247,37.6207445358899,209.381849070265
"22","4.Fixed",0.446178042319018,0.446178042319018,43.8560171954859,40.5637216655658,43.8560171954859,40.5637216655657,58.6218436734815,69.1955747613502
"23","4.MixedInt_Species&Site",0.397911211479432,0.397911211479748,47.2719112512214,45.2012878585075,47.2719112509484,45.2012878581813,58.6218436734815,77.1065613527075
"24","4.MixedIntSlope_Species&Site",0.3223531422541,0.322353453701665,36.7078980332311,34.4132829272318,36.708331183872,34.4136272551712,58.6218436734815,58.7044437681833
"25","4.MixedInt_Species",0.426567232445558,0.426567232445762,43.0341995224433,40.287667493608,43.0341995224553,40.2876674935691,58.6218436734815,68.7246680912457
"26","4.MixedIntSlope_Species",0.42527617119336,0.425276008964546,43.1228556713883,40.2168385600876,43.1227894238069,40.2168250843546,58.6218436734815,68.6038216545334
